"SurveyID"	"CameraCondition"	"CheckDate"
"S04-OTW1-SP10"	NA	2010-05-13
"R05-GOC1-SP10"	NA	2010-05-05
"R05-GOC1-SP10"	"1"	2010-05-17
"R06-YOW1-SP10"	NA	2010-05-04
"R06-YOW1-SP10"	"1"	2010-05-14
"R06-SLT2-SP10"	NA	2010-05-04
"R06-SLT2-SP10"	"1"	2010-05-14
"R06-SLT2-SP10"	"1"	2010-06-02
"R04-MMW1-SP10"	NA	2010-05-04
"R04-MMW1-SP10"	"1"	2010-05-17
"R04-MMW1-SP10"	"1"	2010-06-02
"R05-GOC1-SP10"	"1"	2010-06-02
"R06-YOW1-SP10"	"1"	2010-06-02
"R06-SLT1-SP10"	NA	2010-05-04
"R06-SLT1-SP10"	"1"	2010-05-14
"R06-SLT1-SP10"	"1"	2010-06-02
"R07-YHR1-SP10"	NA	2010-05-05
"R07-YHR1-SP10"	"2"	2010-05-14
"R07-YHR1-SP10"	"2"	2010-06-02
"R07-GOF1-SP10"	NA	2010-05-05
"R07-GOF1-SP10"	"1"	2010-05-14
"R07-GOF1-SP10"	"1"	2010-06-02
"R08-VLG1-SP10"	NA	2010-05-04
"R08-VLG1-SP10"	"2"	2010-05-13
"R08-VLG1-SP10"	"2"	2010-06-02
"R08-WBK1-SP10"	NA	2010-05-06
"R08-WBK1-SP10"	"1"	2010-05-13
"R08-WBK1-SP10"	"1"	2010-06-02
"R09-LIM1-SP10"	NA	2010-05-06
"R09-LIM1-SP10"	"1"	2010-05-13
"R09-LIM1-SP10"	"1"	2010-06-02
"R09-BLW1-SP10"	NA	2010-05-06
"R09-BLW1-SP10"	"1"	2010-05-13
"R09-BLW1-SP10"	"1"	2010-06-02
"R09-CTG1-SP10"	NA	2010-05-04
"R09-CTG1-SP10"	"1"	2010-05-13
"R09-CTG1-SP10"	"1"	2010-06-02
"R10-FRM1-SP10"	NA	2010-05-05
"R10-FRM1-SP10"	"1"	2010-05-13
"R10-FRM1-SP10"	"1"	2010-06-02
"R10-FRM2-SP10"	NA	2010-05-05
